Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
University of Michigan/Michigan Medicine,MI,Healthcare Provider,2921,3/3/2022,Hacking/IT Incident,Email,No,
"Molecular Pathology Laboratory Network, Inc.",TN,Healthcare Provider,339471,3/3/2022,Hacking/IT Incident,Network Server,No,
Crossroads Health,OH,Healthcare Provider,10324,3/2/2022,Hacking/IT Incident,Network Server,No,
"LGAA, LLC",UT,Health Plan,864,3/1/2022,Hacking/IT Incident,Network Server,No,
"Monongalia Health System, Inc.",WV,Healthcare Provider,492861,2/28/2022,Hacking/IT Incident,Network Server,No,
"UMass Memorial Health, Inc.",MA,Business Associate,4270,2/28/2022,Hacking/IT Incident,Email,Yes,
Montrose Regional Health,CO,Healthcare Provider,52632,2/25/2022,Hacking/IT Incident,Email,No,
Kittitas Valley Healthcare,WA,Healthcare Provider,3987,2/25/2022,Hacking/IT Incident,Network Server,Yes,
"First Step of Sarasota, Inc.",FL,Healthcare Provider,1858,2/25/2022,Hacking/IT Incident,Network Server,No,
Norwood Clinic,AL,Healthcare Provider,228000,2/25/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
Bako Diagnostics,GA,Healthcare Provider,25745,2/25/2022,Hacking/IT Incident,Network Server,No,
University Medical Center Southern Nevada,NV,Healthcare Provider,12230,2/24/2022,Hacking/IT Incident,Email,Yes,
Houston Health Department,TX,Healthcare Provider,10291,2/24/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Ultimate Care, Inc.",NY,Healthcare Provider,15788,2/23/2022,Hacking/IT Incident,Email,No,
CareOregon Advantage,OR,Health Plan,10467,2/23/2022,Unauthorized Access/Disclosure,Email,No,
Cooperman Barnabas Medical Center,NJ,Healthcare Provider,538,2/23/2022,Hacking/IT Incident,Email,Yes,
"Alliance Physical Therapy Group, LLC",MI,Business Associate,14970,2/23/2022,Hacking/IT Incident,Network Server,Yes,
"Community Association of Progressive Dominicans, Inc. ",NY,Healthcare Provider,656,2/23/2022,Hacking/IT Incident,Email,No,
Zoe Therapy Services  ,VA,Healthcare Provider,1100,2/23/2022,Hacking/IT Incident,Email,No,
Logan Health Medical Center,MT,Healthcare Provider,213543,2/22/2022,Hacking/IT Incident,Network Server,No,
Ascension Michigan (single affiliated covered entity) ACE,MI,Healthcare Provider,27177,2/22/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Memorial village er,TX,Healthcare Provider,80000,2/19/2022,Hacking/IT Incident,Network Server,No,
"US Radiology Specialists, Inc.",NC,Business Associate,87552,2/18/2022,Hacking/IT Incident,Network Server,Yes,
"Bible Fellowship Church Homes, Inc. dba Fellowship Community",PA,Healthcare Provider,3500,2/18/2022,Hacking/IT Incident,Network Server,No,
"Town Home Care, LLC",NJ,Healthcare Provider,5591,2/17/2022,Hacking/IT Incident,Network Server,No,
Extend Fertility ,NY,Healthcare Provider,10373,2/16/2022,Hacking/IT Incident,Network Server,No,
Comprehensive Health Services,FL,Healthcare Provider,106752,2/15/2022,Hacking/IT Incident,Email,No,
Jersey City Medical Center,NJ,Healthcare Provider,1130,2/15/2022,Hacking/IT Incident,Email,Yes,
Aetna ACE,CT,Health Plan,893,2/15/2022,Hacking/IT Incident,Network Server,Yes,
Cooper University Health Care,NJ,Healthcare Provider,1039,2/14/2022,Hacking/IT Incident,Email,No,
Englewood Health,NJ,Healthcare Provider,582,2/11/2022,Hacking/IT Incident,Email,Yes,
Family Fare LLC,MI,Healthcare Provider,3892,2/11/2022,Hacking/IT Incident,Network Server,Yes,
CVS Pharmacy,RI,Healthcare Provider,6221,2/11/2022,Hacking/IT Incident,Network Server,No,
"Jacksonville Spine Center, P.A.",FL,Healthcare Provider,38000,2/10/2022,Hacking/IT Incident,Network Server,No,
"Summit BHC West Virginia, LLC d/b/a Highland Hospital",WV,Healthcare Provider,1298,2/10/2022,Hacking/IT Incident,Email,No,
Seneca Nation Health System,NY,Healthcare Provider,12000,2/8/2022,Hacking/IT Incident,Network Server,No,
South Shore Hospital Corporation,IL,Healthcare Provider,115670,2/7/2022,Hacking/IT Incident,Network Server,No,
"Cross Timbers Health Clinics, Inc/ d/b/a AccelHealth",TX,Healthcare Provider,48126,2/7/2022,Hacking/IT Incident,Network Server,No,
Hofmann Arthritis Institute PLLC and Hofmann Arthritis Institute of Nevada PLLC ,UT,Healthcare Provider,13320,2/4/2022,Hacking/IT Incident,Network Server,Yes,
Oklahoma Healthcare Authority (OHCA),OK,Health Plan,8629,2/3/2022,Unauthorized Access/Disclosure,Network Server,Yes,
"Morley Companies, Inc.",MI,Business Associate,521046,2/1/2022,Hacking/IT Incident,Network Server,Yes,
North Shore University Hospital,NY,Healthcare Provider,7614,2/1/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Catholic Hospice, Inc.",FL,Healthcare Provider,14986,1/31/2022,Hacking/IT Incident,Email,No,
Philadelphia FIGHT Community Health Centers,PA,Healthcare Provider,17067,1/28/2022,Hacking/IT Incident,Network Server,No,
Family Christian Health Center,IL,Healthcare Provider,31000,1/28/2022,Hacking/IT Incident,Network Server,No,
Spencer Gifts LLC Health and Welfare Benefit Plan,NJ,Health Plan,10023,1/24/2022,Hacking/IT Incident,Network Server,No,
OneDigital OBO Guardian Life Insurance Company of America,NY,Business Associate,800,1/24/2022,Hacking/IT Incident,Network Server,Yes,
Seneca Family of Agencies,CA,Business Associate,1528,1/22/2022,Hacking/IT Incident,Network Server,Yes,
"Medical Healthcare Solutions, Inc. ",MA,Business Associate,133997,1/22/2022,Hacking/IT Incident,Network Server,Yes,
"iRise Florida Spine and Joint Institute, LLC",FL,Healthcare Provider,61595,1/21/2022,Hacking/IT Incident,Email,No,
Independence Blue Cross,PA,Health Plan,591,1/21/2022,Hacking/IT Incident,Network Server,No,
"County of Kings, a political subdivision of the State of California",CA,Healthcare Provider,16590,1/21/2022,Hacking/IT Incident,Network Server,No,
Walgreen Co.,IL,Healthcare Provider,1471,1/21/2022,Unauthorized Access/Disclosure,Paper/Films,No,
University of Arkansas for Medical Sciences ,AR,Healthcare Provider,518,1/21/2022,Unauthorized Access/Disclosure,Email,No,
"Allegheny Health Network Home Infusion, LLC",PA,Healthcare Provider,15342,1/21/2022,Hacking/IT Incident,Network Server,Yes,
"Advocates, Inc.",MA,Healthcare Provider,68236,1/21/2022,Hacking/IT Incident,Network Server,No,
"DataHEALTH, Inc.",TX,Business Associate,2459,1/20/2022,Hacking/IT Incident,Network Server,Yes,
Medical Review Institute of America,UT,Business Associate,2406,1/20/2022,Hacking/IT Incident,Network Server,Yes,
Caring Communities,IL,Business Associate,1659,1/20/2022,Hacking/IT Incident,Other,Yes,
"Walworth County, Wisconsin",WI,Healthcare Provider,500,1/18/2022,Hacking/IT Incident,Email,No,
Raveco Medical,NY,Healthcare Provider,4897,1/17/2022,Hacking/IT Incident,Network Server,No,
Volunteers of America Southwest California,CA,Healthcare Provider,1300,1/14/2022,Hacking/IT Incident,Email,No,
"Fiondella, Milone & LaSaracina, LLP",CT,Business Associate,6215,1/14/2022,Hacking/IT Incident,Network Server,Yes,
Albany Family Dentistry,MN,Healthcare Provider,1117,1/14/2022,Hacking/IT Incident,Email,No,
South City Hospital,MO,Healthcare Provider,21601,1/14/2022,Theft,"Network Server, Other",No,
"Vantage Holding Company, LLC",PA,Healthcare Provider,1762,1/14/2022,Hacking/IT Incident,Network Server,No,
"Digital Insurance, LLC doing business as OneDigital",GA,Business Associate,2051,1/14/2022,Hacking/IT Incident,Network Server,Yes,
Oscar Insurance Corporation of Ohio,OH,Health Plan,504,1/13/2022,Unauthorized Access/Disclosure,Paper/Films,No,
Oscar Health Plan of California,NJ,Health Plan,7632,1/13/2022,Unauthorized Access/Disclosure,Paper/Films,No,
Oscar Buckeye State Insurance Corporation,OH,Health Plan,791,1/13/2022,Unauthorized Access/Disclosure,Paper/Films,No,
Millennium Eye Care LLC,NJ,Healthcare Provider,6050,1/13/2022,Hacking/IT Incident,Network Server,No,
Hospital Authority of Valdosta and Lowndes County Georgia ,GA,Healthcare Provider,41692,1/12/2022,Unauthorized Access/Disclosure,Desktop Computer,No,
Deerbrook Cath Lab LLC,TX,Business Associate,2364,1/11/2022,Hacking/IT Incident,Network Server,Yes,
"Lakeshore Bone & Joint Institute, PC",IN,Healthcare Provider,23627,1/10/2022,Hacking/IT Incident,Email,No,
Medical Review Institute of America,UT,Business Associate,134571,1/7/2022,Hacking/IT Incident,Network Server,Yes,
DataXport,TX,Business Associate,8181,1/7/2022,Hacking/IT Incident,Network Server,Yes,
Suncoast Skin Solutions,FL,Healthcare Provider,57730,1/7/2022,Hacking/IT Incident,Network Server,No,
TTEC Healthcare Solutions,CO,Business Associate,86305,1/7/2022,Hacking/IT Incident,Network Server,Yes,
"Advent Health Partners, Inc.",TN,Business Associate,1383,1/6/2022,Hacking/IT Incident,Email,Yes,
"Houston Area Community Services, Inc. d/b/a Avenue 360 Health and Wellness",TX,Healthcare Provider,12186,1/5/2022,Hacking/IT Incident,Email,No,
Ravkoo,FL,Healthcare Provider,105000,1/3/2022,Hacking/IT Incident,Other,No,
"Brockton Hospital, Inc. d/b/a Signature Healthcare Brockton Hospital",MA,Healthcare Provider,9798,1/3/2022,Hacking/IT Incident,Email,No,
"Sherrill House, Inc.",MA,Healthcare Provider,5006,1/3/2022,Hacking/IT Incident,Email,No,
North Broward Hospital District d/b/a Broward Health (“Broward Health”),FL,Healthcare Provider,1351431,1/2/2022,Hacking/IT Incident,Network Server,No,
"Virtual Private Network Solutions, LLC d/b/a VPN Solutions, LLC",VA,Business Associate,500,12/30/2021,Hacking/IT Incident,Network Server,Yes,
Ciox Health,GA,Business Associate,12493,12/30/2021,Hacking/IT Incident,Email,Yes,
Granite Falls Family Medical Care Center,NC,Healthcare Provider,1000,12/30/2021,Hacking/IT Incident,Network Server,Yes,
Barlow Respiratory Hospital,CA,Healthcare Provider,9880,12/30/2021,Hacking/IT Incident,Network Server,No,
Loyola University Medical Center,IL,Healthcare Provider,16934,12/30/2021,Hacking/IT Incident,Email,No,
Sage Medical Professionals LLC,SD,Business Associate,2138,12/29/2021,Hacking/IT Incident,Network Server,Yes,
"Hoya Optical Labs of America, Inc.",TX,Business Associate,14099,12/29/2021,Hacking/IT Incident,Network Server,Yes,
Douglas C Morrow ODPC,IN,Healthcare Provider,5269,12/28/2021,Hacking/IT Incident,Network Server,No,
"Pithadia Medical Professional Services, Inc.",IN,Healthcare Provider,1624,12/28/2021,Hacking/IT Incident,Network Server,No,
Advocate Aurora Health,WI,Healthcare Provider,1729,12/28/2021,Loss,Paper/Films,No,
"Florida Digestive Health Specialists, LLP",FL,Healthcare Provider,212509,12/27/2021,Unauthorized Access/Disclosure,"Email, Other",No,
Walgreen Co.,IL,Healthcare Provider,1352,12/27/2021,Loss,Paper/Films,No,
"Fertility Centers of Illinois, PLLC",IL,Healthcare Provider,79943,12/27/2021,Hacking/IT Incident,Network Server,No,
"MedQuest Pharmacy, Inc.",UT,Healthcare Provider,39447,12/23/2021,Hacking/IT Incident,Network Server,No,
C.E. Niehoff & Company ,IL,Health Plan,1509,12/23/2021,Hacking/IT Incident,Network Server,No,
Duneland School Corporation,IN,Health Plan,7000,12/23/2021,Hacking/IT Incident,Network Server,No,
"Daniel J. Edelman Holdings, Inc.",IL,Health Plan,184500,12/22/2021,Hacking/IT Incident,Network Server,Yes,
"James Kagan, MD",CO,Healthcare Provider,1310,12/22/2021,Hacking/IT Incident,Email,No,
Rhode Island Public Transit Authority,RI,Health Plan,5015,12/21/2021,Hacking/IT Incident,Network Server,No,
"Georgia Bone & Joint Surgeons, P.C.",GA,Healthcare Provider,39300,12/21/2021,Hacking/IT Incident,Network Server,No,
Chaddock,IL,Healthcare Provider,777,12/21/2021,Theft,Paper/Films,No,
"Monongalia Health System, Inc.",WV,Healthcare Provider,398164,12/21/2021,Hacking/IT Incident,Email,No,
"W. Emery Reynolds, M.D",OK,Business Associate,1844,12/21/2021,Hacking/IT Incident,Network Server,Yes,
Alabama Department of Rehabilitation Services,AL,Healthcare Provider,934,12/20/2021,Improper Disposal,Other Portable Electronic Device,No,
Southern Orthopaedic Associates d/b/a Orthopaedic Institute of Western Kentucky ,KY,Healthcare Provider,106910,12/20/2021,Hacking/IT Incident,Email,No,
Surgery Group SC,IL,Healthcare Provider,500,12/17/2021,Hacking/IT Incident,Network Server,Yes,
Northwest Broward Orthopaedics Associates,FL,Healthcare Provider,500,12/17/2021,Hacking/IT Incident,"Desktop Computer, Network Server",No,
Texas ENT Specialists,TX,Healthcare Provider,535489,12/10/2021,Hacking/IT Incident,Network Server,No,
"Eduro Healthcare, LLC",UT,Healthcare Provider,8059,12/9/2021,Hacking/IT Incident,Email,No,
Sacramento County Department of Health Services,CA,Healthcare Provider,2096,12/9/2021,Hacking/IT Incident,Email,No,
"Weddell Pediatric Dental Specialists, LLC",IN,Healthcare Provider,5356,12/8/2021,Hacking/IT Incident,Email,No,
Javery Pain Institute ,MI,Healthcare Provider,1387,12/8/2021,Hacking/IT Incident,Email,No,
OSR Physical Therapy,AZ,Healthcare Provider,714,12/7/2021,Hacking/IT Incident,Email,No,
Wind River Family and Community Health Care,WY,Healthcare Provider,12938,12/7/2021,Unauthorized Access/Disclosure,Email,No,
"Summit Surgical, LLC",KS,Healthcare Provider,4910,12/7/2021,Hacking/IT Incident,Network Server,No,
Hope Group LLC,AZ,Healthcare Provider,1510,12/7/2021,Hacking/IT Incident,Email,No,
"Oregon Anesthesiology Group, P.C.",OR,Healthcare Provider,750500,12/6/2021,Hacking/IT Incident,Network Server,No,
Nippon Life Insurance Company of America,NY,Health Plan,4109,12/3/2021,Unauthorized Access/Disclosure,Email,No,
"Bansley and Kiener, LLP",IL,Business Associate,50119,12/3/2021,Hacking/IT Incident,Network Server,Yes,
"Bansley and Kiener, LLP",IL,Business Associate,2297,12/3/2021,Hacking/IT Incident,Network Server,Yes,
"Bansley and Kiener, LLP",IL,Business Associate,2711,12/3/2021,Hacking/IT Incident,Network Server,Yes,
"Bansley and Kiener, LLP",IL,Business Associate,15814,12/3/2021,Hacking/IT Incident,Network Server,Yes,
Mertz Manufacturing Inc Health Insurance Plan,OK,Health Plan,868,12/3/2021,Hacking/IT Incident,Network Server,No,
Department of Behavioral Health and Developmental Services,VA,Healthcare Provider,4037,12/3/2021,Unauthorized Access/Disclosure,Other,No,
"Great Plains Manufacturing, Inc",KS,Health Plan,4110,12/1/2021,Hacking/IT Incident,Network Server,No,
"Roy Varughese, M.D.",TX,Healthcare Provider,2916,12/1/2021,Hacking/IT Incident,Email,No,
Commission on Economic Opportunity,NY,Business Associate,29454,11/30/2021,Hacking/IT Incident,Network Server,Yes,
AMITA Health Medical Group Primary Care Hoffman Estates,IL,Healthcare Provider,1647,11/30/2021,Unauthorized Access/Disclosure,Email,No,
Sound Generations,WA,Business Associate,103576,11/29/2021,Hacking/IT Incident,Network Server,Yes,
Broward County Public Schools,FL,Health Plan,49608,11/29/2021,Hacking/IT Incident,Network Server,No,
Region IV Area Agency on Aging,MI,Health Plan,3171,11/29/2021,Hacking/IT Incident,Email,No,
Amistad Family Services,NM,Healthcare Provider,2915,11/29/2021,Theft,Other Portable Electronic Device,No,
"Medsurant Holdings, LLC",PA,Healthcare Provider,45000,11/29/2021,Hacking/IT Incident,Network Server,No,
"Neuro Rehab Associates, Inc. d/b/a Northeast Rehabilitation Hospital Network",NH,Healthcare Provider,501,11/29/2021,Hacking/IT Incident,Network Server,No,
Upstate HomeCare,NY,Healthcare Provider,5114,11/24/2021,Hacking/IT Incident,Network Server,No,
Huntington Hospital,NY,Healthcare Provider,12925,11/24/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Minnesota Women's Care, P.A.",MN,Healthcare Provider,1900,11/24/2021,Unauthorized Access/Disclosure,Paper/Films,No,
"Quantum Imaging and Therapeutics Associates, Inc.",PA,Healthcare Provider,394506,11/24/2021,Hacking/IT Incident,Network Server,No,
Boston Medical Center,MA,Healthcare Provider,723,11/24/2021,Unauthorized Access/Disclosure,Email,No,
OAA Orthopaedic Associates,PA,Healthcare Provider,18052,11/23/2021,Hacking/IT Incident,Network Server,No,
Howard University College of Dentistry,DC,Healthcare Provider,80915,11/23/2021,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
TriValley Primary Care,PA,Healthcare Provider,122806,11/23/2021,Hacking/IT Incident,Network Server,No,
One Community Health,OR,Healthcare Provider,39865,11/22/2021,Hacking/IT Incident,Network Server,No,
"Onondaga County Chapter NYSARC, Inc. ",NY,Healthcare Provider,5425,11/19/2021,Hacking/IT Incident,Network Server,No,
"Colorado Allergy and Asthma Centers, PC",CO,Healthcare Provider,791,11/19/2021,Hacking/IT Incident,Email,No,
United Health Centers of the San Joaquin Valley,CA,Healthcare Provider,500,11/19/2021,Hacking/IT Incident,Network Server,No,
"Anthem, Inc.",IN,Business Associate,2003,11/19/2021,Hacking/IT Incident,Network Server,Yes,
Sentara Healthcare,VA,Healthcare Provider,72121,11/19/2021,Hacking/IT Incident,Network Server,Yes,
Blue Shield of California,CA,Health Plan,1520,11/19/2021,Hacking/IT Incident,Network Server,Yes,
Episcopal Retirement Services,OH,Healthcare Provider,4133,11/18/2021,Hacking/IT Incident,Network Server,No,
Marietta Area Health Care Inc. dba Memorial Health System,OH,Healthcare Provider,501,11/17/2021,Hacking/IT Incident,Network Server,No,
True Health New Mexico,NM,Health Plan,62983,11/17/2021,Hacking/IT Incident,Network Server,No,
"Magnet Solutions, Inc.",NE,Business Associate,1553,11/15/2021,Unauthorized Access/Disclosure,Paper/Films,Yes,
Citizens Financial Corporation,KY,Business Associate,688,11/15/2021,Unauthorized Access/Disclosure,Other,Yes,
University of Houston for UH College of Optometry,TX,Healthcare Provider,18500,11/12/2021,Hacking/IT Incident,Network Server,No,
"The Centers for Advanced Orthopaedics, LLC",MD,Healthcare Provider,21162,11/11/2021,Hacking/IT Incident,Network Server,No,
Tom Wood Inc. Health Care Plan,IN,Health Plan,2235,11/11/2021,Hacking/IT Incident,Network Server,No,
Ophthalmology Associates,MN,Healthcare Provider,67000,11/11/2021,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
Integrated Services of Kalamazoo,MI,Healthcare Provider,3754,11/10/2021,Hacking/IT Incident,Email,No,
"North Spring Behavioral Healthcare, Inc.",VA,Healthcare Provider,3245,11/9/2021,Hacking/IT Incident,Electronic Medical Record,Yes,
Continental American Insurance Company,SC,Health Plan,623,11/8/2021,Unauthorized Access/Disclosure,Paper/Films,No,
Seneca Family of Agencies,CA,Business Associate,19725,11/5/2021,Hacking/IT Incident,Network Server,Yes,
The Urology Center of Colorado,CO,Healthcare Provider,137820,11/5/2021,Hacking/IT Incident,Network Server,No,
University of North Carolina Health,NC,Healthcare Provider,946,11/5/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No,
University Hospital  ,NJ,Healthcare Provider,10067,11/5/2021,Unauthorized Access/Disclosure,Other,No,
Three Rivers Regional Commission,GA,Business Associate,2000,11/5/2021,Hacking/IT Incident,Network Server,Yes,
Mowery Clinic LLC,KS,Healthcare Provider,96000,11/5/2021,Hacking/IT Incident,Network Server,No,
New York Psychotherapy and Counseling Center,NY,Healthcare Provider,28000,11/5/2021,Hacking/IT Incident,Network Server,No,
Maxim Healthcare Group,MD,Healthcare Provider,65267,11/4/2021,Hacking/IT Incident,Email,No,
"Consociate, Inc.",IL,Business Associate,48583,11/3/2021,Hacking/IT Incident,Network Server,Yes,
Putnam County Memorial Hospital,MO,Healthcare Provider,6916,11/3/2021,Hacking/IT Incident,Network Server,No,
"Utah Imaging Associates, Inc.",UT,Healthcare Provider,582170,11/3/2021,Hacking/IT Incident,Network Server,No,
Victory Health Partners,AL,Healthcare Provider,30000,11/2/2021,Hacking/IT Incident,Network Server,No,
Washington DC VA Medical Center,DC,Healthcare Provider,1193,11/1/2021,Unauthorized Access/Disclosure,Email,No,
Sea Mar Community Health Centers,WA,Healthcare Provider,688000,10/30/2021,Hacking/IT Incident,Network Server,No,
Surecare Specialty Pharmacy,TX,Healthcare Provider,8412,10/29/2021,Hacking/IT Incident,Network Server,No,
"NHS Management, LLC",AL,Business Associate,501,10/29/2021,Hacking/IT Incident,Network Server,Yes,
"Viverant PT, LLC",MN,Healthcare Provider,6540,10/29/2021,Hacking/IT Incident,Email,No,
"Professional Healthcare Management, Inc. ",TN,Healthcare Provider,12306,10/28/2021,Hacking/IT Incident,Network Server,No,
Seneca Family of Agencies,CA,Healthcare Provider,2470,10/26/2021,Hacking/IT Incident,Network Server,No,
"Samaritan Daytop Village, Inc.",NY,Healthcare Provider,15459,10/26/2021,Hacking/IT Incident,Network Server,No,
"Community Medical Centers, Inc.",CA,Healthcare Provider,604583,10/26/2021,Hacking/IT Incident,Network Server,No,
Lincare Holdings Inc.,FL,Healthcare Provider,1737775,10/26/2021,Hacking/IT Incident,Network Server,No,
ROSE H BAILEY DDS,WA,Healthcare Provider,3000,10/26/2021,Hacking/IT Incident,Desktop Computer,No,
"Walmart, Inc.",AR,Healthcare Provider,828,10/26/2021,Loss,Laptop,No,
Throckmorton County Memorial Hospital,TX,Healthcare Provider,3028,10/22/2021,Hacking/IT Incident,Network Server,No,
"Star Group, L.P. Health Benefits Plan ",CT,Health Plan,9316,10/22/2021,Hacking/IT Incident,Network Server,No,
Educators Mutual Insurance Association,UT,Health Plan,8661,10/22/2021,Hacking/IT Incident,Network Server,No,
"QRS, Inc.",TN,Business Associate,319778,10/22/2021,Hacking/IT Incident,Network Server,Yes,
Missouri Delta Medical Center ,IL,Healthcare Provider,9719,10/21/2021,Hacking/IT Incident,Network Server,No,
UNC Hospitals,NC,Healthcare Provider,719,10/19/2021,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record",No,
Medical Practice Solutions,MS,Business Associate,501,10/18/2021,Unauthorized Access/Disclosure,Desktop Computer,Yes,
"UMass Memorial Health Care, Inc.",MA,Business Associate,209048,10/15/2021,Hacking/IT Incident,Email,Yes,
"Syracuse ASC, LLC",NY,Healthcare Provider,24891,10/14/2021,Hacking/IT Incident,Network Server,No,
North East Ohio Network,OH,Healthcare Provider,3555,10/8/2021,Hacking/IT Incident,Email,No,
University Hospital,NJ,Healthcare Provider,9329,10/8/2021,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",No,
Independent Health Corporation,NY,Business Associate,541,10/8/2021,Unauthorized Access/Disclosure,Email,Yes,
"Senior Living, LLC and Pilgrim River, LLC ",NJ,Healthcare Provider,3952,10/7/2021,Hacking/IT Incident,Network Server,No,
JDC Healthcare Management LLC,TX,Healthcare Provider,501,10/7/2021,Hacking/IT Incident,Network Server,No,
Carteret Health Care,NC,Healthcare Provider,1235,10/6/2021,Theft,Paper/Films,No,
Wirt County Health Services Association d/b/a Coplin Health Systems,WV,Healthcare Provider,2643,10/5/2021,Unauthorized Access/Disclosure,Paper/Films,No,
Rockbridge Area Community Services Board,VA,Healthcare Provider,2000,10/4/2021,Hacking/IT Incident,Network Server,No,
OSF HealthCare System,IL,Healthcare Provider,53907,10/1/2021,Hacking/IT Incident,Network Server,No,
Eskenazi Health,IN,Healthcare Provider,1515918,10/1/2021,Hacking/IT Incident,Network Server,No,
Premier Management Company ,TX,Healthcare Provider,37636,9/30/2021,Unauthorized Access/Disclosure,"Laptop, Other, Other Portable Electronic Device",No,
"Digital Insurance, LLC doing business as OneDigital",GA,Health Plan,895,9/24/2021,Hacking/IT Incident,Network Server,No,
Griffith Energy Services Inc. Welfare Benefit Plan,MD,Health Plan,500,9/24/2021,Hacking/IT Incident,Network Server,No,
The Menninger Clinic,TX,Healthcare Provider,1365,9/24/2021,Hacking/IT Incident,Email,No,
"Navistar, Inc. Health Plan and the Navistar, Inc. Retiree Health Benefit and Life Insurance Plan",IL,Health Plan,49000,9/24/2021,Hacking/IT Incident,Network Server,No,
State of Alaska Department of Health & Social Services,AK,Health Plan,500000,9/22/2021,Hacking/IT Incident,"Desktop Computer, Laptop, Network Server",No,
Aetna ACE,CT,Health Plan,1011,9/22/2021,Hacking/IT Incident,Email,Yes,
Cerebral Medical Group,FL,Healthcare Provider,875,9/21/2021,Unauthorized Access/Disclosure,Other,No,
"McAllen Surgical Specialty Center, Ltd.",TX,Healthcare Provider,29227,9/20/2021,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Laptop, Network Server",No,
Illinois Department of Human Services and Illinois Department of Healthcare and Family Services ,IL,Healthcare Provider,1960,9/20/2021,Hacking/IT Incident,Network Server,No,
"Welfare & Pension Administration Service, Inc.",WA,Health Plan,545,9/17/2021,Hacking/IT Incident,Network Server,No,
Famous Enterprises Inc. Employee Benefit Plan,OH,Health Plan,528,9/17/2021,Hacking/IT Incident,Network Server,No,
Simon Eye Management,DE,Healthcare Provider,144373,9/14/2021,Hacking/IT Incident,Email,No,
Indian Creek Foundation,PA,Healthcare Provider,2405,9/13/2021,Hacking/IT Incident,Network Server,No,
Consumer Direct Care Network Arizona,AZ,Healthcare Provider,504,9/10/2021,Hacking/IT Incident,Email,No,
Talbert House,OH,Healthcare Provider,45000,9/10/2021,Hacking/IT Incident,Network Server,No,
"Central Texas Medical Specialists, PLLC dba Austin Cancer Centers",TX,Healthcare Provider,36503,9/10/2021,Hacking/IT Incident,Network Server,No,
"Vista Radiology, P.C.",TN,Healthcare Provider,3634,9/9/2021,Hacking/IT Incident,Network Server,No,
"HBP Financial Services Group, LTD",CT,Business Associate,938,9/8/2021,Hacking/IT Incident,Email,Yes,
"Radiology Associates of Albuquerque, PA and Advanced Imaging, LLC",NM,Healthcare Provider,501,9/8/2021,Hacking/IT Incident,Network Server,No,
City of Joplin,MO,Health Plan,513,9/8/2021,Hacking/IT Incident,Network Server,No,
"ADEC, Inc.",IN,Healthcare Provider,2000,9/3/2021,Hacking/IT Incident,Email,No,
"USV Optical, Inc.",NJ,Healthcare Provider,180000,9/3/2021,Hacking/IT Incident,Network Server,No,
"Sequoia Concepts, Inc.",CA,Business Associate,2230,9/2/2021,Hacking/IT Incident,Network Server,Yes,
Dan L. Beaupre,WI,Business Associate,2000,9/1/2021,Unauthorized Access/Disclosure,"Network Server, Paper/Films",Yes,
Thomas Eye Group,GA,Healthcare Provider,500,8/30/2021,Unauthorized Access/Disclosure,Network Server,No,
Queen Creek Medical Center d/b/a Desert Wells Family Medicine,AZ,Healthcare Provider,35000,8/30/2021,Hacking/IT Incident,Network Server,No,
Easterseals Delaware & Maryland's Eastern Shore,DE,Healthcare Provider,15208,8/30/2021,Hacking/IT Incident,Email,No,
"DuPage Medical Group, Ltd. ",IL,Healthcare Provider,655384,8/30/2021,Hacking/IT Incident,Network Server,No,
"CareATC, Inc.",OK,Healthcare Provider,98774,8/27/2021,Hacking/IT Incident,Email,No,
Family Medical Center of Michigan ,MI,Healthcare Provider,21988,8/26/2021,Hacking/IT Incident,Network Server,No,
"Denton County, Texas",TX,Healthcare Provider,326417,8/24/2021,Unauthorized Access/Disclosure,Network Server,No,
CarePointe ENT,IN,Healthcare Provider,48742,8/23/2021,Hacking/IT Incident,Network Server,No,
Gregory P. Vannucci DDS,IA,Healthcare Provider,26144,8/20/2021,Hacking/IT Incident,Network Server,No,
Nova Biomedical Corporation,MA,Health Plan,3774,8/17/2021,Hacking/IT Incident,Network Server,No,
UTMP Surgical Oncology,TN,Healthcare Provider,1310,8/16/2021,Unauthorized Access/Disclosure,Paper/Films,No,
Texoma Community Center,TX,Healthcare Provider,24021,8/16/2021,Hacking/IT Incident,Email,No,
"Alluma, Inc",MN,Healthcare Provider,4117,8/15/2021,Unauthorized Access/Disclosure,Paper/Films,No,
